Product,Age,Gender,Education,MaritalStatus,Usage,Income,Fitness,Miles
KP481,45,Female,17,Single,4,74530,4,324
KP281,41,Male,16,Partnered,3,85071,4,261
KP481,42,Male,15,Partnered,6,99413,3,295
KP481,22,Male,20,Partnered,2,47352,2,111
KP481,49,Male,18,Partnered,4,62281,4,76
KP281,47,Male,19,Single,3,58719,5,95
KP281,31,Male,14,Partnered,2,85405,4,124
KP281,39,Male,15,Partnered,5,57946,5,111
KP281,34,Male,12,Single,4,92147,5,234
KP281,43,Female,13,Single,3,42661,4,98
KP281,27,Male,12,Single,5,102987,4,282
KP481,19,Male,13,Single,3,58298,1,238
KP481,36,Male,19,Partnered,2,43363,5,215
KP781,38,Female,14,Partnered,5,66834,3,278
KP481,37,Female,17,Single,6,59505,2,250
KP481,29,Female,19,Partnered,6,104535,4,108
KP781,22,Female,15,Single,6,104289,1,107
KP281,39,Female,18,Single,5,92067,2,152
KP281,27,Female,12,Partnered,3,34240,3,114
KP281,43,Male,15,Partnered,6,54502,4,115
KP281,41,Male,14,Single,6,101374,1,79
KP281,28,Male,20,Partnered,4,61621,1,34
KP281,27,Female,12,Partnered,5,102903,4,261
KP281,26,Male,20,Single,4,78465,5,332
KP481,44,Female,12,Single,2,99387,4,322
KP481,27,Male,15,Partnered,4,97976,1,341
KP281,49,Female,16,Partnered,5,34594,3,249
KP781,22,Female,19,Partnered,4,36934,3,193
KP781,45,Male,15,Single,6,51639,3,63
KP281,45,Female,18,Partnered,4,62036,1,102
KP481,27,Female,18,Partnered,6,63645,4,258
KP481,27,Male,18,Single,2,86013,4,348
KP481,21,Female,17,Partnered,4,62686,4,329
KP481,31,Male,18,Single,5,85325,5,313
KP481,44,Male,17,Single,4,99283,5,41
KP281,37,Male,13,Partnered,2,39890,4,268
KP481,48,Female,19,Partnered,4,102005,5,56
KP281,25,Male,17,Partnered,6,85203,5,76
KP481,32,Female,14,Partnered,3,47631,4,55
KP281,24,Female,13,Partnered,5,103574,4,346
KP781,34,Male,15,Single,2,33220,1,241
KP481,28,Female,19,Partnered,5,81332,4,248
KP481,49,Male,13,Single,4,36777,4,134
KP481,37,Male,17,Partnered,6,76621,4,149
KP481,46,Male,19,Partnered,3,50036,4,67
KP781,28,Male,18,Partnered,3,76450,2,285
KP481,43,Female,18,Partnered,6,99456,2,352
